      #N                  I1                      Error                      I2                      Error                      I3                      Error                      I4                      Error                      I5                      Error
    64000          1.570867855464            0.001763528316            6.262947649013            0.026296040230            0.434005122807            0.001372105102            1.418738762468            0.003439357444            6.231290828872            0.008511374347
    65000          1.571125943394            0.001749658549            6.266748977578            0.026104272721            0.433865022334            0.001361022579            1.419089942276            0.003411577679            6.231939046491            0.008446473996
    66000          1.571074493513            0.001737179101            6.263248040569            0.025904686434            0.433690484207            0.001350640617            1.419527444478            0.003385553959            6.232904483701            0.008379285176
    67000          1.571502013013            0.001723170432            6.263579177369            0.025708168314            0.433638544403            0.001340414188            1.419657638259            0.003359920103            6.232478407003            0.008317089189
    68000          1.571683124463            0.001709923651            6.265822099139            0.025518863156            0.433529376427            0.001330386871            1.419931281795            0.003334785346            6.234264399369            0.008250474696
    69000          1.571232196582            0.001698636610            6.262089721910            0.025324756422            0.433385655539            0.001320824984            1.420291536638            0.003310817250            6.233270190548            0.008193202665
    70000          1.571357726596            0.001685661996            6.263143991032            0.025143658731            0.433097927710            0.001311478704            1.421012763349            0.003287389601            6.233788040986            0.008133555082
    71000          1.571203095972            0.001673901065            6.262770005293            0.024963266331            0.433121944910            0.001302391705            1.420952561156            0.003264611873            6.234784197757            0.008074339570
    72000          1.571278595048            0.001662164994            6.260306501452            0.024786565772            0.433240388373            0.001293367678            1.420655667424            0.003241991991            6.234000158641            0.008019541697
    73000          1.571336238937            0.001650504462            6.262300312566            0.024622503133            0.433249369709            0.001284492073            1.420633154552            0.003219744149            6.234185343750            0.007967356298
    74000          1.571322565504            0.001639381223            6.266610716333            0.024466658997            0.433301253451            0.001275719651            1.420503101297            0.003197754948            6.234476842866            0.007909810700
    75000          1.570902768923            0.001628704774            6.267081433272            0.024301531166            0.433221776419            0.001267175381            1.420702320674            0.003176337640            6.233811418026            0.007860093365
    76000          1.570870631125            0.001618370107            6.267215306517            0.024143308311            0.433300777226            0.001258812378            1.420504295016            0.003155374700            6.234570644299            0.007806605947
    77000          1.570871242760            0.001607455044            6.268579425153            0.023990176047            0.433228646890            0.001250676834            1.420685098956            0.003134981915            6.236028295521            0.007751589995
    78000          1.571002653925            0.001597088573            6.264872273299            0.023831633420            0.433307443064            0.001242518837            1.420487586238            0.003114532848            6.236158278378            0.007700452485
    79000          1.570977948729            0.001587165877            6.263081396738            0.023680802420            0.433206417173            0.001234628169            1.420740820592            0.003094753878            6.235328226785            0.007655889441
    80000          1.571217748094            0.001577136149            6.262042712128            0.023531256011            0.432988477308            0.001226823639            1.421287114822            0.003075190820            6.234501013532            0.007608254592
    81000          1.571436387149            0.001567066576            6.262722229937            0.023384829802            0.433081688410            0.001219158223            1.421053469238            0.003055976474            6.235354191881            0.007558399049
    82000          1.571331718864            0.001557758725            6.260675711545            0.023242214379            0.433162261560            0.001211681648            1.420851502302            0.003037235479            6.235287205698            0.007509119372
    83000          1.571174530745            0.001549534330            6.256519640000            0.023101321679            0.433184559849            0.001204056355            1.420795608780            0.003018121704            6.235972715968            0.007462633316
    84000          1.571171159289            0.001540170083            6.257259690449            0.022962533102            0.433179032368            0.001196732788            1.420809464121            0.002999764244            6.236789613054            0.007417567267
    85000          1.571402447758            0.001530135151            6.261569084252            0.022831141409            0.433052819795            0.001189486869            1.421125832123            0.002981601417            6.234445737201            0.007379977521
    86000          1.571263497792            0.001521688107            6.257144349226            0.022692042689            0.433182364399            0.001182734961            1.420801111957            0.002964676893            6.233137115884            0.007338791316
    87000          1.571443430558            0.001513064277            6.252543667038            0.022556462969            0.433112820561            0.001175914949            1.420975432507            0.002947581659            6.233322936458            0.007297354522
    88000          1.571347343260            0.001504520115            6.254296938055            0.022430406978            0.433180630468            0.001169293464            1.420805458277            0.002930984057            6.233112129832            0.007257776114
    89000          1.571183171454            0.001495885908            6.255433572114            0.022300861518            0.433366860472            0.001162832775            1.420338648885            0.002914789512            6.233272068151            0.007218125248
    90000          1.571157126612            0.001487552423            6.255694765871            0.022181503064            0.433302690406            0.001156164528            1.420499499385            0.002898074695            6.234312760793            0.007176990962
    91000          1.571023059205            0.001479195942            6.258934777990            0.022058367429            0.433122024701            0.001150165099            1.420952361149            0.002883036357            6.232984661213            0.007140216651
    92000          1.571030895166            0.001470927917            6.260683145795            0.021935449172            0.433189374477            0.001143995295            1.420783540296            0.002867570952            6.232247571491            0.007101971638
    93000          1.571057774207            0.001463204043            6.260452835803            0.021816099105            0.433165761671            0.001137857675            1.420842728824            0.002852186221            6.233121189976            0.007062554291
    94000          1.571012510197            0.001455517021            6.260101475546            0.021697793639            0.433120979590            0.001131837777            1.420954980855            0.002837096575            6.233220054915            0.007022500255
    95000          1.571155126022            0.001447679068            6.261612489271            0.021588286863            0.433081601657            0.001125922319            1.421053686695            0.002822268719            6.234122160476            0.006984656577
    96000          1.571136803579            0.001439873849            6.260270129621            0.021474579342            0.433285520018            0.001120068961            1.420542539165            0.002807596526            6.235457947807            0.006945425466
    97000          1.571014689869            0.001432836009            6.260674006390            0.021362553316            0.433480539465            0.001114571544            1.420053697905            0.002793816547            6.236168822452            0.006909958257
    98000          1.570905956930            0.001425634037            6.262477040822            0.021257167468            0.433390743372            0.001109022905            1.420278783332            0.002779908170            6.236342121945            0.006874850857
    99000          1.570860458071            0.001418718617            6.261219972482            0.021145793356            0.433344046212            0.001103431575            1.420395835754            0.002765892785            6.236992276923            0.006840376089
   100000          1.570914856042            0.001411965103            6.260634375827            0.021040491936            0.433414660210            0.001097997469            1.420218832709            0.002752271502            6.237258928857            0.006805200001
   101000          1.570848319657            0.001405568940            6.257858554380            0.020935673087            0.433320132649            0.001092578465            1.420455778166            0.002738688072            6.237236937579            0.006771158615
   102000          1.570891960432            0.001398353657            6.260618629667            0.020836750237            0.433231593848            0.001087278143            1.420677712029            0.002725402136            6.237358884957            0.006735558353
   103000          1.570868648907            0.001391934079            6.260099229145            0.020737353064            0.433407120705            0.001082020839            1.420237731446            0.002712224030            6.238317601752            0.006701824785
   104000          1.570856514982            0.001385286967            6.261351345378            0.020638551409            0.433225425201            0.001076726022            1.420693174533            0.002698951891            6.236713461092            0.006672430809
   105000          1.570704163133            0.001378947887            6.261200248855            0.020538043809            0.433096858220            0.001071365440            1.421015444164            0.002685514903            6.236456598217            0.006640585582
   106000          1.570850228699            0.001372106799            6.261571334398            0.020442564572            0.433027288769            0.001066323697            1.421189828916            0.002672877130            6.236106767598            0.006608157958
   107000          1.570813878556            0.001365468535            6.263107056418            0.020347713169            0.433060053899            0.001061349478            1.421107698913            0.002660408611            6.236062999638            0.006578328131
   108000          1.570846215456            0.001359433310            6.262592133315            0.020252951003            0.433176768104            0.001056527804            1.420815139789            0.002648322466            6.235881107670            0.006548672349
   109000          1.570864392746            0.001353111644            6.262879431660            0.020161033654            0.433270473777            0.001051462018            1.420580254498            0.002635624423            6.235746962403            0.006519867418
   110000          1.570888367894            0.001346813267            6.263496844249            0.020073560284            0.433208786688            0.001046657437            1.420734881101            0.002623581126            6.235524720929            0.006491010402
   111000          1.570890780051            0.001340421655            6.264849646368            0.019981640072            0.433037944537            0.001041956718            1.421163118867            0.002611798171            6.234741565460            0.006461431073
   112000          1.570950151974            0.001334242729            6.266046426677            0.019894846525            0.432882035439            0.001037295591            1.421553925021            0.002600114458            6.234181785680            0.006433971407
   113000          1.571040070834            0.001327922082            6.264516908808            0.019806135221            0.432925498236            0.001032757738            1.421444979944            0.002588739746            6.235648967003            0.006402950351
   114000          1.571147678466            0.001321902463            6.262414273428            0.019718205471            0.432978264698            0.001028200216            1.421312714038            0.002577315732            6.235495768963            0.006372828196
