      #N                  I1                      Error                      I2                      Error
    87000        209.040152325307            1.218375949923            0.010002045243            0.000023986015
    88000        208.911780379235            1.210769374547            0.010000415749            0.000023847002
    89000        208.918848579504            1.204139582757            0.009998038251            0.000023715576
    90000        208.780147360565            1.197052601305            0.009998929745            0.000023586292
    91000        208.873150168864            1.190936342139            0.010001631966            0.000023457181
    92000        208.805748629015            1.184086798880            0.010005216762            0.000023332068
    93000        208.902514903536            1.177937655054            0.010005586629            0.000023201931
    94000        208.917327395776            1.171674133652            0.010007306435            0.000023076511
    95000        209.044448001692            1.165671934576            0.010004039696            0.000022954927
    96000        208.851454815222            1.158800584164            0.010006605037            0.000022834487
    97000        208.876362627589            1.152677853249            0.010002672344            0.000022710952
    98000        208.848954405933            1.146786456571            0.010004081050            0.000022594566
    99000        208.931385757623            1.141285655743            0.010000744394            0.000022480220
